Training_Generators,Held_Out_Generator,Train_OR,Train_CG,Test_OR,Test_CG,Accuracy,Precision_CG,Recall_CG,F1_CG,CG_Correct,CG_Missed_as_OR,OR_Flagged_as_CG,OR_Correct
DeepSeek + GLM,LFM,16166,16166,2858,2802,0.8839222614840989,0.9589216944801027,0.7997858672376874,0.87215411558669,2241,561,96,2762
DeepSeek + LFM,GLM,16166,16166,2858,2819,0.930244847630791,0.9594235874099355,0.8974813763746009,0.9274193548387096,2530,289,107,2751
LFM + GLM,DeepSeek,16166,16166,2858,2802,0.9475265017667844,0.9572836801752465,0.9357601713062098,0.9463995668651868,2622,180,117,2741
