Model,Accuracy,Precision_CG,Recall_CG,F1_CG,Training_Time_Seconds
Naive Bayes,0.9723711340206186,0.974089068825911,0.9717285945072698,0.9729073999191266,0.6124997138977051
Support Vector Machine,0.9661855670103093,0.9729950900163666,0.9604200323101777,0.9666666666666667,0.6164617538452148
Logistic Regression,0.9641237113402061,0.9736625514403292,0.9555735056542811,0.9645332246229107,0.5261645317077637
Random Forest,0.9538144329896907,0.9707357859531772,0.9378029079159935,0.9539852095316351,280.9032075405121
